   0.0000000000000000        81.801888      -213.44817128577927       4.06974365234375008E-005  2.45715722026890767E-010   81.801847412109367       2.45715722026890774E-008  1.07874865156418546E-012  6.03762160511962448E-010  2.45715722026890775E-017  8.33333333333333353E-020
  2.14724126066517806E-004  -81.785530      -213.44302799589178       4.06892993164062513E-005  2.45764861228955084E-010   81.785491625976562       2.45764861228955113E-008  1.07874865156418546E-012  6.04003670148875650E-010  2.45764861228955119E-017  8.33333333333333353E-020
  4.29512707952189876E-004   81.769180      -213.43788470600427       4.06811621093750017E-005  2.45814020089054752E-010   81.769135839843756       2.45814020089054787E-008  1.07874865156418546E-012  6.04245324723422252E-010  2.45814020089054783E-017  8.33333333333333353E-020
  6.44365854077233458E-004  -81.752823      -213.43276590797336       4.06730249023437522E-005  2.45863198618988315E-010   81.752780053710936       2.45863198618988305E-008  1.07874865156418546E-012  6.04487124351601099E-010  2.45863198618988323E-017  8.33333333333333353E-020
  8.59283347601214054E-004   0.0000000      -213.42762261808588       4.06648876953125027E-005  2.45912396830563827E-010   81.736424267578130       2.45912396830563833E-008  1.07874865156418546E-012  6.04729069149527049E-010  2.45912396830563846E-017  8.33333333333333353E-020
  1.07432986118372042E-003  -163.44022      -213.42247932819836       4.06567480468749976E-005  2.45961629505403347E-010   81.720063574218756       2.45961629505403397E-008  1.07874865156418546E-012  6.04971231889533047E-010  2.45961629505403376E-017  8.33333333333333353E-020
  1.28937670002687854E-003  -81.703751      -213.41733603831085       4.06486108398437481E-005  2.46010867121638591E-010   81.703707788085936       2.46010867121638622E-008  1.07874865156418546E-012  6.05213467419405426E-010  2.46010867121638620E-017  8.33333333333333353E-020
  1.50448783205886505E-003   0.0000000      -213.41219274842337       4.06404736328124986E-005  2.46060124455000281E-010   81.687352001953130       2.46060124455000285E-008  1.07874865156418546E-012  6.05455848468102054E-010  2.46060124455000290E-017  8.33333333333333353E-020
  1.71966347412011444E-003   390.38754      -213.40704945853585       4.06323364257812490E-005  2.46109401517334110E-010   81.670996215820310       2.46109401517334143E-008  1.07874865156418546E-012  6.05698375152204010E-010  2.46109401517334149E-017  8.33333333333333353E-020
  1.93490427673193022E-003   869.62238      -213.40190616864837       4.06241992187499995E-005  2.46158698320495747E-010   81.654640429687504       2.46158698320495744E-008  1.07874865156418546E-012  6.05941047588408279E-010  2.46158698320495728E-017  8.33333333333333353E-020
  2.15020948095279163E-003   302.87817      -213.39676287876085       4.06160620117187500E-005  2.46208014876349908E-010   81.638284643554684       2.46208014876349937E-008  1.07874865156418546E-012  6.06183865893529308E-010  2.46208014876349928E-017  8.33333333333333353E-020
  2.36557908678269868E-003   432.59644      -213.39161958887334       4.06079248046875004E-005  2.46257351196771030E-010   81.621928857421878       2.46257351196771063E-008  1.07874865156418546E-012  6.06426830184498279E-010  2.46257351196771047E-017  8.33333333333333353E-020
  2.58101352790252037E-003   0.0000000      -213.38647629898585       4.05997875976562509E-005  2.46306707293643062E-010   81.605573071289058       2.46306707293643095E-008  1.07874865156418546E-012  6.06669940578363936E-010  2.46306707293643119E-017  8.33333333333333353E-020
  2.79651345483356017E-003   433.23895      -213.38133300909834       4.05916503906250014E-005  2.46356083178859568E-010   81.589217285156252       2.46356083178859566E-008  1.07874865156418546E-012  6.06913197192291761E-010  2.46356083178859578E-017  8.33333333333333353E-020
  3.01214240182312576E-003   433.15207      -213.37616522735425       4.05835107421875031E-005  2.46405493687483438E-010   81.572856591796878       2.46405493687483495E-008  1.07874865156418546E-012  6.07156673193724548E-010  2.46405493687483462E-017  8.33333333333333353E-020
  3.22777134881269134E-003   0.0000000      -213.37102193746674       4.05753735351562536E-005  2.46454909191053256E-010   81.556500805664058       2.46454909191053304E-008  1.07874865156418546E-012  6.07400222643703089E-010  2.46454909191053310E-017  8.33333333333333353E-020
  3.44346556477304055E-003  0.81540185      -213.36587864757919       4.05672363281250041E-005  2.46504344518708679E-010   81.540145019531252       2.46504344518708702E-008  1.07874865156418546E-012  6.07643918665982325E-010  2.46504344518708677E-017  8.33333333333333353E-020
  3.65922483286373890E-003   17.120005      -213.36071086583510       4.05590991210937478E-005  2.46553799682381373E-010   81.523789233398432       2.46553799682381406E-008  1.07874865156418546E-012  6.07887761378198609E-010  2.46553799682381391E-017  8.33333333333333353E-020
  3.87504871940391737E-003  0.81507474      -213.35556757594759       4.05509619140624982E-005  2.46603274694012673E-010   81.507433447265626       2.46603274694012696E-008  1.07874865156418546E-012  6.08131750898106684E-010  2.46603274694012681E-017  8.33333333333333353E-020
  4.09093722439357599E-003   6.5192895      -213.35042428606010       4.05428247070312487E-005  2.46652769565553271E-010   81.491077661132806       2.46652769565553312E-008  1.07874865156418546E-012  6.08375887343579479E-010  2.46652769565553296E-017  8.33333333333333353E-020
  4.30689121519445273E-003   0.0000000      -213.34525650431598       4.05346874999999992E-005  2.46702284308963732E-010   81.474721875000000       2.46702284308963757E-008  1.07874865156418546E-012  6.08620170832607999E-010  2.46702284308963754E-017  8.33333333333333353E-020
  4.52291025812567860E-003  -5.7020884      -213.34011321442850       4.05265502929687496E-005  2.46751818936214084E-010   81.458366088867180       2.46751818936214128E-008  1.07874865156418546E-012  6.08864601483301952E-010  2.46751818936214126E-017  8.33333333333333353E-020
  4.73905897163673373E-003  -5.7009430      -213.33494543268438       4.05184106445312514E-005  2.46801388330114409E-010   81.442005395507806       2.46801388330114427E-008  1.07874865156418546E-012  6.09109252816719503E-010  2.46801388330114426E-017  8.33333333333333353E-020
